Classification Code,num_items,num_loans
AC,44,30
AE,1,19
AG,2,0
AM,1,0
AS,19,1
AY,2,2
AZ,20,30
B,4106,6841
BC,103,66
BD,949,1404
BF,2389,3432
BH,51,55
BJ,2112,3027
BL,6479,14800
BM,2569,6171
BP,733,1613
BQ,236,625
BR,11689,22580
BS,20144,69728
BT,11068,29278
BV,15108,28290
BX,20615,22817
CB,290,206
CC,41,5
CD,41,28
CE,8,13
CJ,15,19
CN,12,10
CR,14,30
CS,17,5
CT,109,87
D,701,668
DA,366,269
DB,11,2
DC,94,94
DD,101,60
DE,25,37
DF,83,90
DG,136,233
DH,4,2
DJ,8,0
DK,60,19
DL,7,4
DP,41,93
DQ,8,4
DR,17,36
DS,2124,3264
DT,322,475
DU,24,2
DX,2,5
E,1959,3452
F,724,684
G,77,49
GA,3,2
GB,4,2
GC,1,0
GE,12,36
GF,70,136
GN,364,706
GR,64,47
GT,80,138
GV,139,182
H,196,80
HA,22,13
HB,159,272
HC,249,278
HD,522,354
HE,23,2
HF,162,83
HG,45,14
HJ,16,0
HM,1161,1365
HN,740,722
HQ,1894,2581
HS,35,62
HT,261,127
HV,982,1118
HX,275,231
J,1,0
JA,106,32
JC,346,412
JF,28,15
JK,111,94
JL,9,1
JN,20,2
JQ,6,1
JS,20,7
JV,35,181
JX,263,217
JZ,15,19
K,58,81
KB,3,4
KBM,1,0
KBP,2,0
KBR,2,0
KBU,4,2
KD,20,13
KDC,2,0
KE,0,0
KF,263,357
KFC,5,7
KFG,1,0
KFM,2,5
KFV,1,0
KFX,1,0
KGF,1,0
KGN,1,0
KJ,2,3
KJC,4,2
KJV,1,0
KK,4,3
KKH,1,0
KL,12,37
KNS,2,3
KZ,3,25
L,12,1
LA,165,58
LB,724,334
LC,528,294
LD,74,31
LE,2,0
LF,21,7
LG,3,0
M,591,435
ML,418,658
MT,85,46
N,379,647
NA,242,219
NB,26,15
NC,24,10
ND,115,135
NE,20,24
NK,42,36
NX,29,28
P,245,403
PA,1022,2568
PB,10,15
PC,25,78
PD,4,4
PE,97,94
PF,26,106
PG,50,51
PH,0,0
PJ,773,1970
PK,38,38
PL,42,36
PM,8,4
PN,1157,1397
PQ,256,261
PR,1041,857
PS,890,846
PT,119,68
PZ,260,167
Q,183,148
QA,30,16
QB,43,31
QC,44,39
QD,4,1
QE,16,9
QH,198,114
QK,5,0
QL,17,22
QM,2,1
QP,46,20
R,361,406
RA,138,79
RB,9,16
RC,541,813
RD,6,2
RG,9,16
RJ,35,24
RM,12,9
RT,15,7
RZ,14,21
S,16,16
SB,8,5
SF,2,2
SH,1,0
SK,0,0
T,10,14
TA,1,0
TC,1,1
TD,9,4
TH,2,0
TJ,7,0
TK,3,3
TL,10,9
TN,1,0
TP,9,0
TR,6,5
TS,2,1
TT,2,1
TX,9,6
U,78,124
UA,17,14
UB,35,20
UC,1,0
UF,10,3
UG,10,0
UH,20,6
Unknown,144,490
VG,5,2
VK,1,0
VM,1,0
Z,315,145
ZA,2,6